file_key,category,bucket,title,design_url,source
1wBJdkVjDLedn3sQWSQKtL,Mobile lite screens,mobile,Mobile lite screens,https://www.figma.com/design/1wBJdkVjDLedn3sQWSQKtL/Free-Mobile-App-UI-Kit-for-Figma-%E2%80%94-Lite-Version--Community-?node-id=1-13&p=f&t=JQz5oX36G9HdopO6-0,sheet
33N9h8Z5wn3Ia1TCUUemrl,Untitled UI (FREE),ds,Untitled UI (FREE),https://www.figma.com/design/33N9h8Z5wn3Ia1TCUUemrl/%E2%9D%96-Untitled-UI-%E2%80%93-FREE-Figma-UI-kit-and-design-system-v2.0--Community-?t=YmeZdFtiFAzcmB6N-0,sheet
YZHmPB6ufDPv9AqiRwpoxd,Plus UI (FREE DS),ds,Plus UI (FREE DS),https://www.figma.com/design/YZHmPB6ufDPv9AqiRwpoxd/Plus-UI----FREE-Figma-UI-Kit-and-Design-System--2026--v2.0--Community-?t=Mu0GR650pMQTJsxt-0,sheet
L6fzDJmTnke43vjJWLSkH0,Get UI (FREE),ds,Get UI (FREE),https://www.figma.com/design/L6fzDJmTnke43vjJWLSkH0/%E2%9D%96-Get-UI---FREE-Figma-UI-kit-and-design-system---1.0--Community-?t=puKpPfqMRwCixJnN-0,sheet
WsosQBb33H11GfEyXB9Gv9,Flowbite Tailwind (Free edition),ds,Flowbite Tailwind (Free edition),https://www.figma.com/design/WsosQBb33H11GfEyXB9Gv9/Flowbite---Tailwind-CSS-Figma-Design-System--Free-Edition---Community-?node-id=15-858&p=f&t=a1u3tLWuBnSeDS5G-0,sheet
jfo7yAJEtwv3km6VkJ0zYQ,Material 3 Design Kit,ds,Material 3 Design Kit,https://www.figma.com/design/jfo7yAJEtwv3km6VkJ0zYQ/Material-3-Design-Kit--Community-?t=9FataUzuAoSYI4aB-0,sheet
Ukp3ITdHzoNJDd3z7tlcng,Ant Design (Free version),ds,Ant Design (Free version),https://www.figma.com/design/Ukp3ITdHzoNJDd3z7tlcng/Ant-Design-System-for-Figma--Free-version---Community-?node-id=12-20919&p=f&t=nPNHTvu9iPeAp470-0,sheet
0K5zL0g2vY2DdZhsOAkyng,HeroUI Kit (Community),ds,HeroUI Kit (Community),https://www.figma.com/design/0K5zL0g2vY2DdZhsOAkyng/HeroUI-Figma-Kit--Community---Community-?t=IVGcefxYGHiJqmBZ-0,sheet
0SePPJ4KDQ5zgxnYQ3ZtDc,HeroUI Kit V3,ds,HeroUI Kit V3,https://www.figma.com/design/0SePPJ4KDQ5zgxnYQ3ZtDc/HeroUI-Figma-Kit-V3--Community-?t=dVzAhK5I9CD5HdIO-0,sheet
zbJbnMYm07Q5lGzDYw8tbx,Shadcn UI DS – Free,ds,Shadcn UI DS – Free,https://www.figma.com/design/zbJbnMYm07Q5lGzDYw8tbx/Shadcn-UI---Design-System---Free--Community-?t=0UjQljAcyj5dxdx0-0,sheet
clBu02o1f9u5ktq1CCjgXX,Nolow DS – Shadcn (Free),ds,Nolow DS – Shadcn (Free),https://www.figma.com/design/clBu02o1f9u5ktq1CCjgXX/Nolow-DS---Shadcn-UI-Kit--43-Components--Variables--Free---Community-?t=XtZn562wuxie1trs-0,sheet
iWaeXGWx8Fu4I56eUmMYFA,shadcn/ui + variables,ds,shadcn/ui + variables,https://www.figma.com/design/iWaeXGWx8Fu4I56eUmMYFA/shadcn-ui-components-with-variables---Tailwind-classes---Updated-January-2026--Community-?t=btkgs1Vk4cwXQ8qG-0,sheet
T5AjaF7KsoZTtXHqC3kgsK,@shadcn/ui Design System,ds,@shadcn/ui Design System,https://www.figma.com/design/T5AjaF7KsoZTtXHqC3kgsK/-shadcn-ui---Design-System--Community-?node-id=2-287&p=f&t=H4R0j6q0DAyGl9Da-0,sheet
xM3OWDhb562vDYgIK0hfop,shadcn Ultimate UI Kit,ds,shadcn Ultimate UI Kit,https://www.figma.com/design/xM3OWDhb562vDYgIK0hfop/shadcn-ui--The-Ultimate-UI-Kit-for-Figma--Community-?t=ttNzFznW1BcUgHyK-0,sheet
ItdbQE988jQIE8ZwkCLXjY,Foundational UI Library,ds,Foundational UI Library,https://www.figma.com/design/ItdbQE988jQIE8ZwkCLXjY/Foundational-UI-Library--Community-?node-id=0-1&p=f&t=bpOddbwZnvstU5Yt-0,sheet
